DOI,Name,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-05-17,10:30:00,,,,,,"Alkalinity, total",as CaCO3,,174,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-05-23,11:45:00,,,,,,"Alkalinity, total",as CaCO3,,192,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-05-30,10:20:00,,,,,,"Alkalinity, total",as CaCO3,,215,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-06-06,10:45:00,,,,,,"Alkalinity, total",as CaCO3,,211,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",49.0314,-98.2778,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-06-07,11:40:00,,,,,,"Alkalinity, total",as CaCO3,,231,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-06-15,12:20:00,,,,,,"Alkalinity, total",as CaCO3,,216,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-06-20,09:35:00,,,,,,"Alkalinity, total",as CaCO3,,131,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-06-20,10:25:00,,,,,,"Alkalinity, total",as CaCO3,,225,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-06-28,11:30:00,,,,,,"Alkalinity, total",as CaCO3,,176,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-07-04,11:15:00,,,,,,"Alkalinity, total",as CaCO3,,198,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",49.0314,-98.2778,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-07-11,11:15:00,,,,,,"Alkalinity, total",as CaCO3,,268,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/vmt3-j060,Winnipeg River Basin Long-term Water Quality Monitoring Data,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",50.3006,-95.5556,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-07-12,10:50:00,,,,,,"Alkalinity, total",as CaCO3,,48,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-07-13,10:00:00,,,,,,"Alkalinity, total",as CaCO3,,235,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-07-17,12:10:00,,,,,,"Alkalinity, total",as CaCO3,,243,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-07-18,15:20:00,,,,,,"Alkalinity, total",as CaCO3,,147,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-07-25,12:25:00,,,,,,"Alkalinity, total",as CaCO3,,241,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-03,10:15:00,,,,,,"Alkalinity, total",as CaCO3,,246,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-10,10:30:00,,,,,,"Alkalinity, total",as CaCO3,,239,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/vmt3-j060,Winnipeg River Basin Long-term Water Quality Monitoring Data,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",50.3006,-95.5556,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-10,11:00:00,,,,,,"Alkalinity, total",as CaCO3,,49.8,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/vmt3-j060,Winnipeg River Basin Long-term Water Quality Monitoring Data,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",50.3006,-95.5556,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-10,11:20:00,,,,,,"Alkalinity, total",as CaCO3,,50.6,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/vmt3-j060,Winnipeg River Basin Long-term Water Quality Monitoring Data,MA05PF0022,"WINNIPEG RIVER AT POINTE DU BOIS,",50.3006,-95.5556,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-10,11:25:00,,,,,,"Alkalinity, total",as CaCO3,,47.9,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-14,15:50:00,,,,,,"Alkalinity, total",as CaCO3,,236,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-14,18:50:00,,,,,,"Alkalinity, total",as CaCO3,,111,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-14,18:55:00,,,,,,"Alkalinity, total",as CaCO3,,111,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/nfat-9s96,Lower Saskatchewan - Nelson River Basin Long-term Water Quality Monitoring Data,MA05KH0001,SASKATCHEWAN RIVER ABOVE CARROT RIVER,53.8417,-101.3342,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-14,19:00:00,,,,,,"Alkalinity, total",as CaCO3,,111,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",49.0314,-98.2778,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-16,11:28:00,,,,,,"Alkalinity, total",as CaCO3,,242,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-23,11:00:00,,,,,,"Alkalinity, total",as CaCO3,,202,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-08-30,10:40:00,,,,,,"Alkalinity, total",as CaCO3,,237,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",49.0314,-98.2778,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-09-07,08:30:00,,,,,,"Alkalinity, total",as CaCO3,,253,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",49.0314,-98.2778,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-09-07,08:40:00,,,,,,"Alkalinity, total",as CaCO3,,253,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OB0001,"PEMBINA RIVER AT WINDYGATES, MANITOBA",49.0314,-98.2778,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-09-07,08:50:00,,,,,,"Alkalinity, total",as CaCO3,,252,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-09-07,11:15:00,,,,,,"Alkalinity, total",as CaCO3,,226,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-09-12,10:50:00,,,,,,"Alkalinity, total",as CaCO3,,228,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
https://doi.org/10.25976/tm9b-c550,Assiniboine-Red River Basin Long-term Water Quality Monitoring Data,MA05OC0001,"RED RIVER AT EMERSON, MANITOBA",49.0081,-97.2106,NAD27,,,,,River/Stream,Sample-Routine,Surface Water,2023-09-18,12:50:00,,,,,,"Alkalinity, total",as CaCO3,,236,mg/L,Actual,,,mg/L,,Preliminary,,10111,ENV/CANADA,,,,,ECCCLabs,
